\u263A\u00C4\u263B\u00C5\u2665\u00C9\u2666\u00E6\u2663\u00C6\u2660\u00F4\u2022\u00F6\u25D8\u00F2\u25CB\u00FB\u25D9\u00F9\u2642\u00FF\u2640\u00D6\u266A\u00DC\u266B\u00A2\u263C\u00A3\u25BA\u00A5\u25C4\u20A7\u2195\u0192\u203C\u00E1\u00B6\u00ED\u00A7\u00F3\u25AC\u00FA\u21A8\u00F1\u2191\u00D1\u2193\u00AA\u2192\u00BA\u2190\u00BF\u221F\u2310\u2194\u00AC\u25B2\u00BD\u25BC\u00BC\u00A1\u2302\u00AB\u00C7\u00BB\u00FC\u2591\u00E9\u2592\u00E2\u2593\u00E4\u2502\u00E0\u2524\u00E5\u2561\u00E7\u2562\u00EA\u2556\u00EB\u2555\u00E8\u2563\u00EF\u2551\u00EE\u2557\u00EC\u255D\u255C\u221E\u00D2\u255B\u03C6\u00D3\u2510\u03B5\u00D4\u2514\u2229\u00A4\u00D5\u2534\u2261\u252C\u00B1\u00A6\u00D7\u251C\u2265\u00D8\u2500\u2264\u00A8\u00D9\u253C\u2320\u00A9\u00DA\u255E\u2321\u00DB\u255F\u00F7\u255A\u2248\u00DD\u2554\u00B0\u00AE\u00DE\u2569\u2219\u00AF\u00DF\u2566\u00B7\u2560\u221A\u2550\u207F\u00B2\u256C\u00B3\u00E3\u2567\u25A0\u00B4\u2568\u00B5\u2564\u20AC\u2565\u201A\u2559\u00B8\u2558\u201E\u00B9\u2552\u2026\u2553\u2020\u256B\u2021\u256A\u02C6\u2518\u2030\u00BE\u250C\u0160\u2588\u2039\u00C0\u00F0\u2584\u0152\u00C1\u258C\u017D\u00C2\u2590\u2018\u00C3\u2580\u2019\u03B1\u201C\u00F5\u201D\u0393\u03C0\u2013\u00C8\u00F8\u03A3\u2014\u03C3\u02DC\u00CB\u2122\u00CC\u03C4\u0161\u00CD\u03A6\u203A\u00CE\u00FD\u0398\u0153\u00CF\u00FE\u03A9\u017E\u00D0\u03B4\u0178




☺	263A
Ä	00C4
☻	263B
Å	00C5
♥	2665
É	00C9
♦	2666
æ	00E6
♣	2663
Æ	00C6
♠	2660
ô	00F4
•	2022
ö	00F6
◘	25D8
ò	00F2
○	25CB
û	00FB
◙	25D9
ù	00F9
♂	2642
ÿ	00FF
♀	2640
Ö	00D6
♪	266A
Ü	00DC
♫	266B
¢	00A2
☼	263C
£	00A3
►	25BA
¥	00A5
◄	25C4
₧	20A7
↕	2195
ƒ	0192
‼	203C
á	00E1
¶	00B6
í	00ED
§	00A7
ó	00F3
▬	25AC
ú	00FA
↨	21A8
ñ	00F1
↑	2191
Ñ	00D1
↓	2193
ª	00AA
→	2192
º	00BA
←	2190
¿	00BF
∟	221F
⌐	2310
↔	2194
¬	00AC
▲	25B2
½	00BD
▼	25BC
¼	00BC
¡	00A1
⌂	2302
«	00AB
Ç	00C7
»	00BB
ü	00FC
░	2591
é	00E9
▒	2592
â	00E2
▓	2593
ä	00E4
│	2502
à	00E0
┤	2524
å	00E5
╡	2561
ç	00E7
╢	2562
ê	00EA
╖	2556
ë	00EB
╕	2555
è	00E8
╣	2563
ï	00EF
║	2551
î	00EE
╗	2557
ì	00EC
╝	255D
╜	255C
∞	221E
Ò	00D2
╛	255B
φ	03C6
Ó	00D3
┐	2510
ε	03B5
Ô	00D4
└	2514
∩	2229
¤	00A4
Õ	00D5
┴	2534
≡	2261
┬	252C
±	00B1
¦	00A6
×	00D7
├	251C
≥	2265
Ø	00D8
─	2500
≤	2264
¨	00A8
Ù	00D9
┼	253C
⌠	2320
©	00A9
Ú	00DA
╞	255E
⌡	2321
Û	00DB
╟	255F
÷	00F7
╚	255A
≈	2248
Ý	00DD
╔	2554
°	00B0
®	00AE
Þ	00DE
╩	2569
∙	2219
¯	00AF
ß	00DF
╦	2566
·	00B7
╠	2560
√	221A
═	2550
ⁿ	207F
²	00B2
╬	256C
³	00B3
ã	00E3
╧	2567
■	25A0
´	00B4
╨	2568
µ	00B5
╤	2564
€	20AC
╥	2565
‚	201A
╙	2559
¸	00B8
╘	2558
„	201E
¹	00B9
╒	2552
…	2026
╓	2553
†	2020
╫	256B
‡	2021
╪	256A
ˆ	02C6
┘	2518
‰	2030
¾	00BE
┌	250C
Š	0160
█	2588
‹	2039
À	00C0
ð	00F0
▄	2584
Œ	0152
Á	00C1
▌	258C
Ž	017D
Â	00C2
▐	2590
‘	2018
Ã	00C3
▀	2580
’	2019
α	03B1
“	201C
õ	00F5
”	201D
Γ	0393
π	03C0
–	2013
È	00C8
ø	00F8
Σ	03A3
—	2014
σ	03C3
˜	02DC
Ë	00CB
™	2122
Ì	00CC
τ	03C4
š	0161
Í	00CD
Φ	03A6
›	203A
Î	00CE
ý	00FD
Θ	0398
œ	0153
Ï	00CF
þ	00FE
Ω	03A9
ž	017E
Ð	00D0
δ	03B4
Ÿ	0178
